geografie,geslacht,migratieachtergrond,huishouden,bins,uitkomst,N,mean,parents_income,opleiding_ouders,type
Groningen,Total,Total,Total,0% - 20%,c00_infant_mortality,3924,1.045,27,Total,5
Groningen,Total,Total,Total,20% - 40%,c00_infant_mortality,3922,0.867,51,Total,5
Groningen,Total,Total,Total,40% - 60%,c00_infant_mortality,3920,0.714,74,Total,5
Groningen,Total,Total,Total,60% - 80%,c00_infant_mortality,3920,0.663,98,Total,5
Groningen,Total,Total,Total,80% - 100%,c00_infant_mortality,3920,0.663,155,Total,5
Groningen,Total,Total,Two Parents,0% - 20%,c00_infant_mortality,3432,1.02,33,Total,5
Groningen,Total,Total,Two Parents,20% - 40%,c00_infant_mortality,3432,0.728,60,Total,5
Groningen,Total,Total,Two Parents,40% - 60%,c00_infant_mortality,3432,0.787,80,Total,5
Groningen,Total,Total,Two Parents,60% - 80%,c00_infant_mortality,3428,0.642,103,Total,5
Groningen,Total,Total,Two Parents,80% - 100%,c00_infant_mortality,3428,0.642,160,Total,5
Groningen,Total,No Migration Background,Total,0% - 20%,c00_infant_mortality,2768,0.939,33,Total,5
Groningen,Total,No Migration Background,Total,20% - 40%,c00_infant_mortality,2768,0.831,61,Total,5
Groningen,Total,No Migration Background,Total,40% - 60%,c00_infant_mortality,2767,0.903,81,Total,5
Groningen,Total,No Migration Background,Total,60% - 80%,c00_infant_mortality,2764,0.615,104,Total,5
Groningen,Total,No Migration Background,Total,80% - 100%,c00_infant_mortality,2764,0.615,158,Total,5
Groningen,Total,No Migration Background,Two Parents,0% - 20%,c00_infant_mortality,2536,1.065,39,Total,5
Groningen,Total,No Migration Background,Two Parents,20% - 40%,c00_infant_mortality,2536,0.828,65,Total,5
Groningen,Total,No Migration Background,Two Parents,40% - 60%,c00_infant_mortality,2535,0.789,85,Total,5
Groningen,Total,No Migration Background,Two Parents,60% - 80%,c00_infant_mortality,2532,0.632,107,Total,5
Groningen,Total,No Migration Background,Two Parents,80% - 100%,c00_infant_mortality,2532,0.632,161,Total,5
Groningen,Men,Total,Total,0% - 20%,c00_infant_mortality,2000,1.15,27,Total,5
Groningen,Men,Total,Total,20% - 40%,c00_infant_mortality,2000,0.8,51,Total,5
Groningen,Men,Total,Total,40% - 60%,c00_infant_mortality,1998,0.651,74,Total,5
Groningen,Men,Total,Total,60% - 80%,c00_infant_mortality,1996,0.802,99,Total,5
Groningen,Men,Total,Total,80% - 100%,c00_infant_mortality,1996,0.601,156,Total,5
Groningen,Men,Total,Two Parents,0% - 20%,c00_infant_mortality,1744,0.745,33,Total,5
