geografie,geslacht,migratieachtergrond,huishouden,bins,uitkomst,N,mean,parents_income,opleiding_ouders,type
Amsterdam,Total,Total,Total,0% - 5%,c00_infant_mortality,4663,1.287,17,Total,20
Amsterdam,Total,Total,Total,5% - 10%,c00_infant_mortality,4663,1.008,26,Total,20
Amsterdam,Total,Total,Total,10% - 15%,c00_infant_mortality,4663,1.501,30,Total,20
Amsterdam,Total,Total,Total,15% - 20%,c00_infant_mortality,4662,0.879,34,Total,20
Amsterdam,Total,Total,Total,20% - 25%,c00_infant_mortality,4662,0.815,40,Total,20
Amsterdam,Total,Total,Total,25% - 30%,c00_infant_mortality,4662,0.837,46,Total,20
Amsterdam,Total,Total,Total,30% - 35%,c00_infant_mortality,4662,0.751,52,Total,20
Amsterdam,Total,Total,Total,35% - 40%,c00_infant_mortality,4662,0.837,58,Total,20
Amsterdam,Total,Total,Total,40% - 45%,c00_infant_mortality,4662,1.03,64,Total,20
Amsterdam,Total,Total,Total,45% - 50%,c00_infant_mortality,4662,0.708,71,Total,20
Amsterdam,Total,Total,Total,50% - 55%,c00_infant_mortality,4662,0.901,78,Total,20
Amsterdam,Total,Total,Total,55% - 60%,c00_infant_mortality,4662,0.493,86,Total,20
Amsterdam,Total,Total,Total,60% - 65%,c00_infant_mortality,4662,0.622,94,Total,20
Amsterdam,Total,Total,Total,65% - 70%,c00_infant_mortality,4662,0.536,103,Total,20
Amsterdam,Total,Total,Total,70% - 75%,c00_infant_mortality,4662,0.579,114,Total,20
Amsterdam,Total,Total,Total,75% - 80%,c00_infant_mortality,4662,0.45,126,Total,20
Amsterdam,Total,Total,Total,80% - 85%,c00_infant_mortality,4662,0.493,141,Total,20
Amsterdam,Total,Total,Total,85% - 90%,c00_infant_mortality,4662,0.45,162,Total,20
Amsterdam,Total,Total,Total,90% - 95%,c00_infant_mortality,4662,0.45,195,Total,20
Amsterdam,Total,Total,Total,95% - 100%,c00_infant_mortality,4662,0.536,336,Total,20
Amsterdam,Total,Total,Two Parents,0% - 5%,c00_infant_mortality,3803,1.288,20,Total,20
Amsterdam,Total,Total,Two Parents,5% - 10%,c00_infant_mortality,3803,1.315,30,Total,20
Amsterdam,Total,Total,Two Parents,10% - 15%,c00_infant_mortality,3803,0.71,35,Total,20
Amsterdam,Total,Total,Two Parents,15% - 20%,c00_infant_mortality,3802,0.763,42,Total,20
Amsterdam,Total,Total,Two Parents,20% - 25%,c00_infant_mortality,3802,0.605,49,Total,20
Amsterdam,Total,Total,Two Parents,25% - 30%,c00_infant_mortality,3802,0.921,55,Total,20
Amsterdam,Total,Total,Two Parents,30% - 35%,c00_infant_mortality,3802,0.999,61,Total,20
Amsterdam,Total,Total,Two Parents,35% - 40%,c00_infant_mortality,3802,0.71,68,Total,20
Amsterdam,Total,Total,Two Parents,40% - 45%,c00_infant_mortality,3802,0.71,74,Total,20
Amsterdam,Total,Total,Two Parents,45% - 50%,c00_infant_mortality,3802,0.71,81,Total,20
Amsterdam,Total,Total,Two Parents,50% - 55%,c00_infant_mortality,3802,0.526,88,Total,20
Amsterdam,Total,Total,Two Parents,55% - 60%,c00_infant_mortality,3802,0.5,96,Total,20
Amsterdam,Total,Total,Two Parents,60% - 65%,c00_infant_mortality,3802,0.526,104,Total,20
Amsterdam,Total,Total,Two Parents,65% - 70%,c00_infant_mortality,3802,0.658,113,Total,20
Amsterdam,Total,Total,Two Parents,70% - 75%,c00_infant_mortality,3802,0.447,124,Total,20
Amsterdam,Total,Total,Two Parents,75% - 80%,c00_infant_mortality,3802,0.368,136,Total,20
Amsterdam,Total,Total,Two Parents,80% - 85%,c00_infant_mortality,3802,0.552,151,Total,20
Amsterdam,Total,Total,Two Parents,85% - 90%,c00_infant_mortality,3802,0.395,172,Total,20
Amsterdam,Total,Total,Two Parents,90% - 95%,c00_infant_mortality,3802,0.395,206,Total,20
Amsterdam,Total,Total,Two Parents,95% - 100%,c00_infant_mortality,3802,0.579,352,Total,20
Amsterdam,Total,With Migration Background,Total,0% - 5%,c00_infant_mortality,2963,1.552,15,Total,20
Amsterdam,Total,With Migration Background,Total,5% - 10%,c00_infant_mortality,2963,1.282,24,Total,20
Amsterdam,Total,With Migration Background,Total,10% - 15%,c00_infant_mortality,2963,1.046,27,Total,20
Amsterdam,Total,With Migration Background,Total,15% - 20%,c00_infant_mortality,2963,1.552,30,Total,20
Amsterdam,Total,With Migration Background,Total,20% - 25%,c00_infant_mortality,2963,0.81,33,Total,20
Amsterdam,Total,With Migration Background,Total,25% - 30%,c00_infant_mortality,2963,0.911,37,Total,20
Amsterdam,Total,With Migration Background,Total,30% - 35%,c00_infant_mortality,2963,0.877,42,Total,20
Amsterdam,Total,With Migration Background,Total,35% - 40%,c00_infant_mortality,2963,0.742,47,Total,20
