geografie,geslacht,migratieachtergrond,huishouden,bins,uitkomst,N,mean,parents_income,opleiding_ouders,type
Amsterdam,Totaal,Totaal,Totaal,0% - 5%,c00_infant_mortality,4663,1.287,17,Totaal,20
Amsterdam,Totaal,Totaal,Totaal,5% - 10%,c00_infant_mortality,4663,1.008,26,Totaal,20
Amsterdam,Totaal,Totaal,Totaal,10% - 15%,c00_infant_mortality,4663,1.501,30,Totaal,20
Amsterdam,Totaal,Totaal,Totaal,15% - 20%,c00_infant_mortality,4662,0.879,34,Totaal,20
Amsterdam,Totaal,Totaal,Totaal,20% - 25%,c00_infant_mortality,4662,0.815,40,Totaal,20
Amsterdam,Totaal,Totaal,Totaal,25% - 30%,c00_infant_mortality,4662,0.837,46,Totaal,20
Amsterdam,Totaal,Totaal,Totaal,30% - 35%,c00_infant_mortality,4662,0.751,52,Totaal,20
Amsterdam,Totaal,Totaal,Totaal,35% - 40%,c00_infant_mortality,4662,0.837,58,Totaal,20
Amsterdam,Totaal,Totaal,Totaal,40% - 45%,c00_infant_mortality,4662,1.03,64,Totaal,20
Amsterdam,Totaal,Totaal,Totaal,45% - 50%,c00_infant_mortality,4662,0.708,71,Totaal,20
Amsterdam,Totaal,Totaal,Totaal,50% - 55%,c00_infant_mortality,4662,0.901,78,Totaal,20
Amsterdam,Totaal,Totaal,Totaal,55% - 60%,c00_infant_mortality,4662,0.493,86,Totaal,20
Amsterdam,Totaal,Totaal,Totaal,60% - 65%,c00_infant_mortality,4662,0.622,94,Totaal,20
Amsterdam,Totaal,Totaal,Totaal,65% - 70%,c00_infant_mortality,4662,0.536,103,Totaal,20
Amsterdam,Totaal,Totaal,Totaal,70% - 75%,c00_infant_mortality,4662,0.579,114,Totaal,20
Amsterdam,Totaal,Totaal,Totaal,75% - 80%,c00_infant_mortality,4662,0.45,126,Totaal,20
Amsterdam,Totaal,Totaal,Totaal,80% - 85%,c00_infant_mortality,4662,0.493,141,Totaal,20
Amsterdam,Totaal,Totaal,Totaal,85% - 90%,c00_infant_mortality,4662,0.45,162,Totaal,20
Amsterdam,Totaal,Totaal,Totaal,90% - 95%,c00_infant_mortality,4662,0.45,195,Totaal,20
Amsterdam,Totaal,Totaal,Totaal,95% - 100%,c00_infant_mortality,4662,0.536,336,Totaal,20
Amsterdam,Totaal,Totaal,Tweeoudergezin,0% - 5%,c00_infant_mortality,3803,1.288,20,Totaal,20
Amsterdam,Totaal,Totaal,Tweeoudergezin,5% - 10%,c00_infant_mortality,3803,1.315,30,Totaal,20
Amsterdam,Totaal,Totaal,Tweeoudergezin,10% - 15%,c00_infant_mortality,3803,0.71,35,Totaal,20
Amsterdam,Totaal,Totaal,Tweeoudergezin,15% - 20%,c00_infant_mortality,3802,0.763,42,Totaal,20
Amsterdam,Totaal,Totaal,Tweeoudergezin,20% - 25%,c00_infant_mortality,3802,0.605,49,Totaal,20
Amsterdam,Totaal,Totaal,Tweeoudergezin,25% - 30%,c00_infant_mortality,3802,0.921,55,Totaal,20
Amsterdam,Totaal,Totaal,Tweeoudergezin,30% - 35%,c00_infant_mortality,3802,0.999,61,Totaal,20
Amsterdam,Totaal,Totaal,Tweeoudergezin,35% - 40%,c00_infant_mortality,3802,0.71,68,Totaal,20
Amsterdam,Totaal,Totaal,Tweeoudergezin,40% - 45%,c00_infant_mortality,3802,0.71,74,Totaal,20
Amsterdam,Totaal,Totaal,Tweeoudergezin,45% - 50%,c00_infant_mortality,3802,0.71,81,Totaal,20
Amsterdam,Totaal,Totaal,Tweeoudergezin,50% - 55%,c00_infant_mortality,3802,0.526,88,Totaal,20
Amsterdam,Totaal,Totaal,Tweeoudergezin,55% - 60%,c00_infant_mortality,3802,0.5,96,Totaal,20
Amsterdam,Totaal,Totaal,Tweeoudergezin,60% - 65%,c00_infant_mortality,3802,0.526,104,Totaal,20
Amsterdam,Totaal,Totaal,Tweeoudergezin,65% - 70%,c00_infant_mortality,3802,0.658,113,Totaal,20
Amsterdam,Totaal,Totaal,Tweeoudergezin,70% - 75%,c00_infant_mortality,3802,0.447,124,Totaal,20
Amsterdam,Totaal,Totaal,Tweeoudergezin,75% - 80%,c00_infant_mortality,3802,0.368,136,Totaal,20
Amsterdam,Totaal,Totaal,Tweeoudergezin,80% - 85%,c00_infant_mortality,3802,0.552,151,Totaal,20
Amsterdam,Totaal,Totaal,Tweeoudergezin,85% - 90%,c00_infant_mortality,3802,0.395,172,Totaal,20
Amsterdam,Totaal,Totaal,Tweeoudergezin,90% - 95%,c00_infant_mortality,3802,0.395,206,Totaal,20
Amsterdam,Totaal,Totaal,Tweeoudergezin,95% - 100%,c00_infant_mortality,3802,0.579,352,Totaal,20
Amsterdam,Totaal,Wel migratieachtergrond,Totaal,0% - 5%,c00_infant_mortality,2963,1.552,15,Totaal,20
Amsterdam,Totaal,Wel migratieachtergrond,Totaal,5% - 10%,c00_infant_mortality,2963,1.282,24,Totaal,20
Amsterdam,Totaal,Wel migratieachtergrond,Totaal,10% - 15%,c00_infant_mortality,2963,1.046,27,Totaal,20
Amsterdam,Totaal,Wel migratieachtergrond,Totaal,15% - 20%,c00_infant_mortality,2963,1.552,30,Totaal,20
Amsterdam,Totaal,Wel migratieachtergrond,Totaal,20% - 25%,c00_infant_mortality,2963,0.81,33,Totaal,20
Amsterdam,Totaal,Wel migratieachtergrond,Totaal,25% - 30%,c00_infant_mortality,2963,0.911,37,Totaal,20
Amsterdam,Totaal,Wel migratieachtergrond,Totaal,30% - 35%,c00_infant_mortality,2963,0.877,42,Totaal,20
Amsterdam,Totaal,Wel migratieachtergrond,Totaal,35% - 40%,c00_infant_mortality,2963,0.742,47,Totaal,20
Amsterdam,Totaal,Wel migratieachtergrond,Totaal,40% - 45%,c00_infant_mortality,2963,0.675,52,Totaal,20
Amsterdam,Totaal,Wel migratieachtergrond,Totaal,45% - 50%,c00_infant_mortality,2963,1.08,57,Totaal,20
Amsterdam,Totaal,Wel migratieachtergrond,Totaal,50% - 55%,c00_infant_mortality,2963,0.844,62,Totaal,20
Amsterdam,Totaal,Wel migratieachtergrond,Totaal,55% - 60%,c00_infant_mortality,2963,0.945,68,Totaal,20
Amsterdam,Totaal,Wel migratieachtergrond,Totaal,60% - 65%,c00_infant_mortality,2963,0.81,75,Totaal,20
Amsterdam,Totaal,Wel migratieachtergrond,Totaal,65% - 70%,c00_infant_mortality,2963,0.675,82,Totaal,20
Amsterdam,Totaal,Wel migratieachtergrond,Totaal,70% - 75%,c00_infant_mortality,2963,0.641,91,Totaal,20
Amsterdam,Totaal,Wel migratieachtergrond,Totaal,75% - 80%,c00_infant_mortality,2963,0.641,101,Totaal,20
Amsterdam,Totaal,Wel migratieachtergrond,Totaal,80% - 85%,c00_infant_mortality,2963,0.675,115,Totaal,20
Amsterdam,Totaal,Wel migratieachtergrond,Totaal,85% - 90%,c00_infant_mortality,2963,0.439,133,Totaal,20
Amsterdam,Totaal,Wel migratieachtergrond,Totaal,90% - 95%,c00_infant_mortality,2963,0.371,164,Totaal,20
Amsterdam,Totaal,Wel migratieachtergrond,Totaal,95% - 100%,c00_infant_mortality,2962,0.439,288,Totaal,20
Amsterdam,Mannen,Totaal,Totaal,0% - 5%,c00_infant_mortality,2397,1.46,16,Totaal,20
Amsterdam,Mannen,Totaal,Totaal,5% - 10%,c00_infant_mortality,2397,1.001,26,Totaal,20
Amsterdam,Mannen,Totaal,Totaal,10% - 15%,c00_infant_mortality,2397,1.544,30,Totaal,20
Amsterdam,Mannen,Totaal,Totaal,15% - 20%,c00_infant_mortality,2397,0.96,34,Totaal,20
Amsterdam,Mannen,Totaal,Totaal,20% - 25%,c00_infant_mortality,2397,0.834,40,Totaal,20
